NestID,FemaleID,Female,Year,MaleID,IbuttonFile,Jdate,IncubateDay,Sunrise.Seconds,StartTime,EndTime,MidTime,Length,ClosestHourMid(sec),Length.Minute,OnOrOff,FirstOff,StartTemp,EndTemp,MidTemp,TempRow,Ambient,AmbientNL,AmbientDH,Clutch Size,Sampled
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,39540,40980,40260,1440,39600,24,On,No,23,24.5,23.75,52,17.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,40980,41580,41280,600,39600,10,Off,No,24.5,22,23.25,52,17.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,41580,42900,42240,1320,43200,22,On,No,22,25,23.5,52,18.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,42900,43380,43140,480,43200,8,Off,No,25,23,24,52,18.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,43380,44580,43980,1200,43200,20,On,No,23,24.5,23.75,52,18.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,44580,44940,44760,360,43200,6,Off,No,24.5,23,23.75,52,18.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,44940,46140,45540,1200,46800,20,On,No,23,25,24,52,19.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,46140,46740,46440,600,46800,10,Off,No,25,23.5,24.25,52,19.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,46740,47820,47280,1080,46800,18,On,No,23.5,25,24.25,52,19.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,47820,48180,48000,360,46800,6,Off,No,25,23.5,24.25,52,19.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,48180,49380,48780,1200,50400,20,On,No,23.5,26.5,25,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,49380,49980,49680,600,50400,10,Off,No,26.5,23,24.75,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,49980,51180,50580,1200,50400,20,Off,No,23,25.5,24.25,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,51180,51540,51360,360,50400,6,Off,No,25.5,24,24.75,52,19.9,15.9,20.4,4,4
